Topic_code,Topic_desc,DataSet_code,DataSet_desc,Country_code,Country_desc,Flow_code,Flow_desc,Indicator_code,Indicator_desc,Partner_Country_code,Partner_Country_desc,Unit_code,Unit_desc,Year,Value,Value_Flag,Notes_Export
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2009,1825000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2010,1500000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2011,1231176000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2012,838905000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2013,664317000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2014,476747000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2015,439960000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2016,311992000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1990,79233744,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1991,96639472,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1992,98868232,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1993,89268512,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1994,92165248,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1995,86970752,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1996,92324280,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1997,97715944,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1998,120321440,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,1999,148276089,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2000,231279671,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2001,209457444,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2002,250021103,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2003,213667810,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2004,214000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2005,171000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2006,160000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2007,47000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2008,118000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2009,117000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2010,144000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2011,187876000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2012,166116000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTIC,Integrated circuits and electronic components,WL,World,UC,US dollar at current prices,2013,166796000,,
